original_short,redirected,valid_url,domain,subdomain,suffix
https://t.co/LSb97njdxP,https://twitter.com/ScotGovEdu/status/1100331033520680960/photo/1,Yes,twitter,,com
https://t.co/AB9z3Y7jP6,https://twitter.com/ScotGovFM/status/1093897387876196353/photo/1,Yes,twitter,,com
https://t.co/fxMD2WCQvN,https://twitter.com/NicolaSturgeon/status/1210996469211246592/photo/1,Yes,twitter,,com
https://t.co/NhByferdFc,https://twitter.com/theSNP/status/1205334124191502336/video/1,Yes,twitter,,com
https://t.co/EkpPe4XGNB,https://twitter.com/sunscotnational/status/1147604132691415040,Yes,twitter,,com
https://t.co/lnXckrGnok,https://twitter.com/rosscolquhoun/status/1131472817512427520/photo/1,Yes,twitter,,com
https://t.co/YrEPOlPlNV,https://twitter.com/leannewood/status/1099376050860187649,Yes,twitter,,com
https://t.co/nXEPDnnrTS,Not a valid url,No,Domain missing,Subdomain missing,Suffix missing
https://t.co/pKMe9uic2K,https://www.bbc.co.uk/news/election-2019-50440867,Yes,bbc,www,co.uk
https://t.co/jNww8EtC7e,https://www.ft.com/products,Yes,ft,www,com
https://t.co/TTjEb7yiri,https://twitter.com/SamCoatesSky/status/1117710068563181573,Yes,twitter,,com
https://t.co/tvle2cuFRS,https://twitter.com/FPALondon/status/1227227223553388544/photo/1,Yes,twitter,,com
https://t.co/YSme2oToOv,https://twitter.com/olafdoesstuff/status/1204877976728461317,Yes,twitter,,com
https://t.co/UU4kPfUAdM,https://blog.ted.com/stages-of-life-notes-from-session-5-of-tedsummit-2019/,Yes,ted,blog,com
https://t.co/ZbaTKsuYOp,https://twitter.com/bbcvickiyoung/status/1110211161830633473,Yes,twitter,,com
https://t.co/TWV7HY277x,https://twitter.com/bbcscotcomms/status/1136212319434870784,Yes,twitter,,com
https://t.co/F55WJ812tU,https://twitter.com/frasernelson/status/1185205582745296896,Yes,twitter,,com
https://t.co/TFG3z4HrMB,https://twitter.com/fifawwc/status/1121416949962027009,Yes,twitter,,com
https://t.co/lkfrD9xRXO,https://twitter.com/NicolaSturgeon/status/1136608029061857280/photo/1,Yes,twitter,,com
https://t.co/pTjPTn3Zw2,https://twitter.com/edbookfest/status/1160111183824904192,Yes,twitter,,com
https://t.co/qE3hPj3Y2X,https://twitter.com/christia_allard/status/1145953400166785024,Yes,twitter,,com
https://t.co/sKLcRHw7W4,https://twitter.com/stvnews/status/1179062214298349568,Yes,twitter,,com
https://t.co/DxwBIpqmme,https://twitter.com/swalkermusic/status/1145088976891654144,Yes,twitter,,com
https://t.co/rMoon1j8Cv,Not a valid url,No,Domain missing,Subdomain missing,Suffix missing
https://t.co/p4zyaJeUF1,https://twitter.com/peston/status/1169153502037315590,Yes,twitter,,com
https://t.co/YiiyxnIp04,https://www.bbc.co.uk/news/uk-scotland-48123960,Yes,bbc,www,co.uk
https://t.co/qGP9g7jwuT,https://twitter.com/NicolaSturgeon/status/1192802349686951936/photo/1,Yes,twitter,,com
https://t.co/wg1DGg2g6v,https://www.theguardian.com/books/2019/sep/01/margaret-atwood-handmaids-tale-sequel-the-testaments-profile?CMP=share_btn_tw,Yes,theguardian,www,com
https://t.co/4wJUDDqbMC,https://twitter.com/skynews/status/1171129982933975042,Yes,twitter,,com
https://t.co/jFii0YjHgk,https://twitter.com/sebastianepayne/status/1227610096835932160,Yes,twitter,,com
https://t.co/nLF7u8rA01,https://twitter.com/holyroodliam/status/1232675328407080960,Yes,twitter,,com
https://t.co/ILRRMEYufh,https://www.bbc.co.uk/news/uk-scotland-scotland-politics-48191110,Yes,bbc,www,co.uk
https://t.co/3m8BWANMbH,https://twitter.com/scotgovfm/status/1178331149296394242,Yes,twitter,,com
https://t.co/SuAtclzoT1,https://twitter.com/murrayf00te/status/1224777028823670785,Yes,twitter,,com
https://t.co/lpcPpeI30D,https://twitter.com/rhysmccole/status/1192489189406887937,Yes,twitter,,com
https://t.co/4vl8z7451n,https://twitter.com/snpdavid/status/1177573635323834369,Yes,twitter,,com
https://t.co/LIo8ck9,Not a valid url,No,Domain missing,Subdomain missing,Suffix missing
https://t.co/sApBuPlcEx,https://twitter.com/WomenForIndy/status/1190665821850390530/photo/1,Yes,twitter,,com
https://t.co/oW9UUiwtY6,https://twitter.com/stvcolin/status/1217403110626398208,Yes,twitter,,com
https://t.co/HIXgv8RWmr,https://twitter.com/NicolaSturgeon/status/1131468718251413504/photo/1,Yes,twitter,,com
https://t.co/fg4FlbhP5x,https://twitter.com/kirstystricklan/status/1176943589198352384,Yes,twitter,,com
